ID,Datetime,Selected,Probability,Median Return Rate,Expected Undelayed Return Rate (random trend),Expected Actual Return Rate (random trend),Matched Trend Count,Interrupted Trend,Interrupted Trend Undelayed Return Rate,Interrupted Trend Actual Return Rate,Hit Rate (after first 30 mins),MDD (all the time),Undelayed Fund Remaining (commns. and fees deducted),Fund Remaining (commns. and fees deducted),Commns. and Fees (2 contracts),yFin Minute Delay,Close Price 1,Close Price 2,Close Price 3,Close Price 4,Close Price 5,Close Price 6,Close Price 7,Close Price 8
14,2016-09-27 07:33:00 EDT,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,214.97999953484046,214.98999906968092,215.01999767420227,214.9500009303191,215.0009985580054,214.96000046515957,214.99999860452135,215.09999395292587
14,2016-10-07 09:32:00 EDT,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,214.945,214.961,215.09,215.13,215.175,215.14,215.14,215.23
14,2018-03-27 07:41:00 EDT,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,215.05892745665824,215.13168628483322,215.08318039938325,215.16402354179982,215.32570982663307,215.20444511300815,215.2772039411831,215.50356473994958
14,2019-08-07 09:39:00 EDT,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,214.96625252771773,215.08242416846804,215.21733317062964,215.26230283801686,215.33725228366222,215.3297573390977,215.27729272714595,215.2473129488878
14,2021-04-05 05:31:00 EDT,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,216.57177092434037,216.6442128254412,216.73543596016071,216.84871362921544,216.85885549536954,216.896417962607,216.8373912283767,216.84544032849902
14,2022-01-19 06:59:00 EST,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,214.9088193441044,214.94176277420206,215.08765510749157,215.11118612898989,215.11589233328957,215.03118065589564,215.06412408599329,215.1671899601559
14,2022-08-09 10:55:00 EDT,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,214.87906691236532,214.84248463573067,214.93132730755764,214.87906691236532,214.86861483332683,214.81112839861527,214.87384087284607,214.82680651717294
14,2022-12-21 06:04:00 EST,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,214.9450002584313,215.0477769737692,214.91444501873627,214.91444501873627,214.85333453934618,214.9533335056209,214.98111099625277,215.1116652022225
14,2024-09-11 14:42:00 EDT,2,0.8889,0.0012,0.0001,0.0002,9,false,0.0,0.0,0.0667,0.0007,9999.458,10004.458,0.542,1,215.10239466724633,215.02451545121912,215.05177317682862,214.9115905879796,214.83565835235305,214.88433286237006,215.04398525522592,214.98557584320548
49,2016-08-11 10:33:00 EDT,2,0.8333,0.0005,0.0008,0.0008,6,true,0.0006208177617678969,0.0007409526422268095,0.04,0.0007,10023.916,10033.916,0.542,1,215.09541485714286,215.13671789714286,215.1691702857143,215.1888384,215.1986724571429,215.1691702857143,215.15933622857142,215.12983405714286
49,2016-10-07 10:07:00 EDT,2,0.8333,0.0005,0.0008,0.0008,6,true,0.0006208177617678969,0.0007409526422268095,0.04,0.0007,10023.916,10033.916,0.542,1,215.11,215.09,215.07,215.17,215.28,215.31,215.4,215.29
49,2017-01-12 09:51:00 EST,2,0.8333,0.0005,0.0008,0.0008,6,true,0.0006208177617678969,0.0007409526422268095,0.04,0.0007,10023.916,10033.916,0.542,1,215.17701060070672,215.1912632508834,215.20551590106007,215.21691802120142,215.1960141342756,215.21501766784453,215.24352296819788,215.23402120141344
49,2021-04-08 07:19:00 EDT,2,0.8333,0.0005,0.0008,0.0008,6,true,0.0006208177617678969,0.0007409526422268095,0.04,0.0007,10023.916,10033.916,0.542,1,215.12422293492213,215.19020629308,215.19812429605895,215.19601282859787,215.2271569736484,215.25355031691151,215.26938632286942,215.29050099747997
49,2023-07-25 10:50:00 EDT,2,0.8333,0.0005,0.0008,0.0008,6,true,0.0006208177617678969,0.0007409526422268095,0.04,0.0007,10023.916,10033.916,0.542,1,215.0422219300552,215.07050486458058,215.03986501884478,215.04693575247612,215.11292926636867,215.10821544394776,215.08224228240863,215.04924552546237
49,2024-01-04 08:40:00 EST,2,0.8333,0.0005,0.0008,0.0008,6,true,0.0006208177617678969,0.0007409526422268095,0.04,0.0007,10023.916,10033.916,0.542,1,215.16493684215015,215.19015649845892,215.15118066598174,215.20620537065537,215.21537615476765,215.22949916230056,215.23142502696413,215.20161997859924
281,2016-07-20 10:36:00 EDT,2,0.75,0.0005,0.0006,0.0003,8,true,0.0008066002949850843,0.00043711517554533306,0.0107,0.0007,10053.374,10048.374,0.542,1,216.47995268247755,216.4899211374626,216.49490536495512,216.48493690997006,216.50487381994014,216.50487381994014,216.50487381994014,216.49988959244763
281,2016-10-04 10:02:00 EDT,2,0.75,0.0005,0.0006,0.0003,8,true,0.0008066002949850843,0.00043711517554533306,0.0107,0.0007,10053.374,10048.374,0.542,1,216.49528329602686,216.5558498880806,216.62651091214326,216.63660534415223,216.66184142417458,216.62651091214326,216.73250244823728,216.72745523223278
281,2016-10-10 07:29:00 EDT,2,0.75,0.0005,0.0006,0.0003,8,true,0.0008066002949850843,0.00043711517554533306,0.0107,0.0007,10053.374,10048.374,0.542,1,216.525,216.5,216.52,216.495,216.46,216.485,216.469,216.492
281,2016-11-22 07:04:00 EST,2,0.75,0.0005,0.0006,0.0003,8,true,0.0008066002949850843,0.00043711517554533306,0.0107,0.0007,10053.374,10048.374,0.542,1,216.4847010238908,216.45514948805462,216.49061133105803,216.52410307167236,216.5832061433447,216.6029071672355,216.5930566552901,216.5832061433447
281,2016-12-22 05:47:00 EST,2,0.75,0.0005,0.0006,0.0003,8,true,0.0008066002949850843,0.00043711517554533306,0.0107,0.0007,10053.374,10048.374,0.542,1,216.43714834287235,216.4659604019699,216.46980200984962,216.465,216.45059397045122,216.4553959803008,216.37856382270732,216.42658392120325
281,2018-06-13 08:21:00 EDT,2,0.75,0.0005,0.0006,0.0003,8,true,0.0008066002949850843,0.00043711517554533306,0.0107,0.0007,10053.374,10048.374,0.542,1,216.42638082030615,216.43281735025514,216.46515509710719,216.457400241747,216.4690325247873,216.48454223550775,216.50392937390825,216.50005194622813
281,2021-07-07 08:31:00 EDT,2,0.75,0.0005,0.0006,0.0003,8,true,0.0008066002949850843,0.00043711517554533306,0.0107,0.0007,10053.374,10048.374,0.542,1,216.4500342228982,216.50490873893804,216.5198745160398,216.5747490320796,216.63960073285395,216.61964636338496,216.5897148091814,216.5872205129978
281,2021-11-12 07:51:00 EST,2,0.75,0.0005,0.0006,0.0003,8,true,0.0008066002949850843,0.00043711517554533306,0.0107,0.0007,10053.374,10048.374,0.542,1,216.41630928663238,216.44645115681234,216.46963721079692,216.45572557840615,216.5066421529563,216.51137210796915,216.4974604755784,216.44645115681234
527,2016-10-10 11:35:00 EDT,2,0.7778,0.0006,-0.0013,-0.0014,9,true,-0.00029106997322158175,-0.0007522644137440751,0.0077,0.0013,10042.832,10017.832,0.542,1,216.06,216.07,216.09,216.085,216.06,216.07,216.045,216.14
527,2017-05-24 11:08:00 EDT,2,0.7778,0.0006,-0.0013,-0.0014,9,true,-0.00029106997322158175,-0.0007522644137440751,0.0077,0.0013,10042.832,10017.832,0.542,1,216.06338630638882,216.1074604991985,216.1074604991985,216.0894710327456,216.11645523242498,216.1074604991985,216.12544996565146,216.12544996565146
